# Extra spatial information for diversion stations not found in standard layers
# because the nodes are aggregates or other.
#
# File provided by Carolyn Fritz, CWCB, 2010-12-29, as "Aggregates.txt".
# Header comments added by Stev Malers
#
#"FID_","Name","POINT_X","POINT_Y","Lat","Long_"
"FID_","ID","X","Y","LAT","LONG"
,"72_AMC001",152326.441931,4339759.802490,39.137633,-109.022216
,"72_ADC065",153117.645327,4339957.603340,39.139726,-109.013185
,"70_ADC050",218313.201301,4348393.333950,39.239145,-108.263704
,"45_ARC005",228761.298266,4361978.659640,39.364704,-108.148299
,"45_ADC048",228586.600997,4361877.872750,39.363743,-108.150283
,"45_ADC046",253295.294305,4376471.475780,39.502484,-107.869230
,"45_ADC047",248559.243166,4375836.474510,39.495398,-107.924005
,"39_ADC045",259909.890868,4378945.334890,39.526621,-107.793280
,"45_ADC044",261656.144360,4378958.564090,39.527226,-107.772991
,"45_ADC043",274263.565408,4380307.941780,39.542778,-107.626917
,"45_ADC042",277345.967406,4380903.255470,39.548941,-107.591281
,"53_ADC032",300153.096354,4380228.566630,39.548481,-107.325862
,"52_ARC008",322073.869362,4390295.982590,39.643958,-107.073612
,"52_ARC009",322417.828383,4390110.773890,39.642361,-107.069556
,"53_ADC028",336986.477312,4414647.619840,39.866221,-106.905946
,"52_ADC027",338395.386380,4415322.308690,39.872566,-106.889649
,"53_ADC026",351512.131364,4418477.471250,39.903378,-106.737061
,"52_ADC021",365124.971089,4420402.318850,39.922990,-106.578271
,"50_ADC020",376177.961945,4432050.623390,40.029594,-106.451190
,"50_ADC012",388203.298496,4434511.253320,40.053437,-106.310715
,"51_ADC011",388818.455976,4434670.003630,40.054948,-106.303532
,"51_ADC008",400367.541575,4433717.501730,40.047813,-106.168008
,"51_ADC007",407550.993441,4437725.947240,40.084739,-106.084382
,"51_ARC007",414714.601519,4440305.639900,40.108734,-106.000709
,"51_ADC001",423545.087930,4441774.080340,40.122811,-105.897282
,"51_ADC002",419793.554135,4444384.619990,40.145979,-105.941629
,"51_ADC006",418654.948378,4437571.783580,40.084497,-105.954137
,"51_ADC005",418855.430066,4437427.577450,40.083217,-105.951768
,"51_ADC004",426799.469438,4429470.930730,40.012266,-105.857701
,"51_ADC003",432296.199182,4425839.517220,39.980009,-105.792923
,"51_ADC010",397209.883687,4432357.881310,40.035186,-106.204802
,"51_ADC009",402570.202230,4423716.231730,39.957979,-106.140690
,"50_ADC016",380843.866674,4435425.350950,40.060662,-106.397142
,"50_ARC006",380889.780688,4435492.582190,40.061274,-106.396616
,"50_ADC015",379868.906827,4446814.402920,40.163104,-106.410689
,"50_ADC014",378003.590597,4452192.069930,40.211270,-106.433606
,"50_ADC013",373757.019603,4461578.182450,40.295176,-106.485340
,"36_ADC019",380900.783891,4433201.563200,40.040641,-106.396066
,"36_ADC018",385933.584844,4415244.573320,39.879590,-106.333941
,"36_ADC017",395605.032050,4409686.672420,39.830770,-106.219977
,"36_ARC001",396319.408478,4409031.827360,39.824959,-106.211527
,"53_ADC025",352305.882951,4418794.971880,39.906376,-106.727851
,"53_ADC024",352444.789479,4424430.608150,39.957154,-106.727502
,"53_ADC022",340320.233980,4434987.504270,40.050017,-106.871977
,"53_ADC023",342661.801163,4434987.504270,40.050457,-106.844540
,"37_ADC031",332561.312212,4390795.384630,39.650572,-106.951583
,"37_ARC002",332997.875585,4390954.134950,39.652087,-106.946538
,"37_ADC030",340836.172512,4390338.977470,39.648042,-106.855074
,"37_ADC029",342225.237790,4390438.196420,39.649193,-106.838916
,"38_ADC040",299878.590597,4379444.736930,39.541360,-107.328819
,"38_ARC003",299719.840279,4378789.891870,39.535427,-107.330467
,"38_ADC039",304502.193594,4370872.219790,39.465243,-107.272537
,"38_ADC038",307379.543099,4365831.897210,39.420510,-107.237661
,"38_ADC037",308371.732583,4365216.739730,39.415192,-107.225966
,"38_ADC036",321845.665781,4359739.853770,39.368762,-107.068094
,"38_ADC035",324484.889809,4359541.415880,39.367516,-107.037423
,"38_ADC034",328612.398064,4355612.345520,39.332962,-106.988534
,"38_ADC033",330021.307132,4355215.469720,39.329666,-106.972096
,"39_ARC004",281800.898191,4383512.713820,39.573575,-107.540340
,"39_ADC041",280094.332278,4384961.310470,39.586178,-107.560670
,"70_ADC049",214510.607361,4372737.536020,39.456897,-108.318045
,"72_ADC064",218022.958135,4342356.694010,39.184743,-108.264543
,"72_ARC010",219511.242362,4342674.194640,39.188081,-108.247470
,"72_ADC063",228738.604567,4342158.256110,39.186366,-108.140583
,"72_ADC062",229611.731313,4342237.631270,39.187353,-108.130520
,"72_ADC061",234195.646731,4342019.349580,39.186802,-108.077434
,"72_ADC060",235664.087168,4342535.288110,39.191892,-108.060657
,"72_ADC059",240248.002585,4346484.202260,39.228808,-108.009168
,"72_ADC058",243145.195880,4347635.142060,39.240027,-107.976085
,"72_ADC055",244018.322626,4347694.673430,39.240821,-107.966004
,"72_ADC057",244335.823261,4347277.953850,39.237164,-107.962172
,"72_ADC056",247471.142032,4342932.163910,39.198973,-107.924265
,"72_ADC054",254495.843581,4350671.241890,39.270637,-107.845829
,"72_ADC053",247550.517190,4348746.394290,39.251320,-107.925521
,"72_ADC052",249554.739949,4349897.334090,39.262259,-107.902750
,"72_ADC051",260525.048348,4344585.813050,39.217552,-107.773858
