# File generated by...
# program:      StateModGUI 07.03.01 (2009-06-19)
# user:         sam
# date:         Mon Dec 27 16:28:55 MST 2010
# host:         AMAZON
# directory:    C:\CDSS\data\cm2009\statemod
# command line: StateModGUI -home
#            C:\Develop\StateModGUI_SourceBuild/StateModGUI/test/operational/CDSS
#
# ifs has 105 out of 105 locations with missing spatial data.
#
# Specify X and Y in projected coordinates to match other layer data.
#
# Added the first one as a test but coordinates are bogus
#
"ID","Name","Long","Lat","X","Y","Note"
361123,BLUE RIVER WHITEWATER CO,,,330080.0,4373000.0,"GUI Detected no coordinates"
362000,MIN FLOW CATARACT CR LOW,,,,,"GUI Detected no coordinates"
362002,MIN FLOW BRUSH CREEK,,,,,"GUI Detected no coordinates"
362012,MIN FLOW SLATE CREEK,,,,,"GUI Detected no coordinates"
362030,MIN FLOW BLUE RIVER 3,,,,,"GUI Detected no coordinates"
362033,MIN FLOW SNAKE RIVER LOW,,,,,"GUI Detected no coordinates"
362037,MIN FLOW BLUE RIVER 4,,,,,"GUI Detected no coordinates"
362043,MIN FLOW BLUE RIVER 5,,,,,"GUI Detected no coordinates"
362044,MIN FLOW BLUE RIVER 6,,,,,"GUI Detected no coordinates"
362045,MIN FLOW BLUE RIVER 7,,,,,"GUI Detected no coordinates"
362046,MIN FLOW BLUE RIVER 8,,,,,"GUI Detected no coordinates"
362047,MIN FLOW BLUE RIVER 9,,,,,"GUI Detected no coordinates"
362048,MIN FLOW BLUE RIVER 10,,,,,"GUI Detected no coordinates"
362049,MIN FLOW BLUE RIVER 11,,,,,"GUI Detected no coordinates"
371412,TOWN OF VAIL WHITEWATER,,,,,"GUI Detected no coordinates"
371416,AVON WHITEWATER COURSE R,,,,,"GUI Detected no coordinates"
372000,MIN FLOW GYPSUM CREEK LO,,,,,"GUI Detected no coordinates"
372012,MIN FLOW EAGLE RIVER,,,,,"GUI Detected no coordinates"
372028,MIN FLOW EAGLE RIVER,,,,,"GUI Detected no coordinates"
372034,MIN FLOW EAGLE RIVER,,,,,"GUI Detected no coordinates"
372041,MIN FLOW EAGLE RIVER,,,,,"GUI Detected no coordinates"
372042,MIN FLOW EAGLE RIVER,,,,,"GUI Detected no coordinates"
